,value_as_string,0,1,2
266,1021110209^WMS W02DHDC POOL01^CLINIC,1021110209,WMS W02DHDC POOL01,CLINIC
119,1021200015^RNTNE GND DC WAITING^WAIT,1021200015,RNTNE GND DC WAITING,WAIT
1634,1021500003^OUTSC TLC POOL01^VIRTUAL,1021500003,OUTSC TLC POOL01,VIRTUAL
1081,ACU^E03ACU BY13^BY13-A51,ACU,E03ACU BY13,BY13-A51
1143,ACU^E03ACU BY12^BY12-A50,ACU,E03ACU BY12,BY12-A50
1703,ACU^E03ACU BY12^BY12-A49,ACU,E03ACU BY12,BY12-A49
1226,ACU^E03ACU BY14^BY14-A55,ACU,E03ACU BY14,BY14-A55
1029,ACU^E03ACU BY13^BY13-A52,ACU,E03ACU BY13,BY13-A52
819,ACU^E03ACU BY12^BY12-A48,ACU,E03ACU BY12,BY12-A48
595,ACU^E03ACU BY12^BY12-A47,ACU,E03ACU BY12,BY12-A47
327,ACU^E03ACU BY13^BY13-A53,ACU,E03ACU BY13,BY13-A53
435,ACU^E03ACU BY13^BY13-A54,ACU,E03ACU BY13,BY13-A54
651,ACU^E03ACU BY14^BY14-A56,ACU,E03ACU BY14,BY14-A56
359,ALNQ^A1PATLNG CH02^CH02-02,ALNQ,A1PATLNG CH02,CH02-02
386,BBNU^E03BC SR03^SR03-A01,BBNU,E03BC SR03,SR03-A01
684,BBNU^E03BC PR05^PR05-A01,BBNU,E03BC PR05,PR05-A01
398,BBNU^E03BC SR06^SR06-A01,BBNU,E03BC SR06,SR06-A01
983,BBNU^E03BC SR07^SR07-A01,BBNU,E03BC SR07,SR07-A01
1082,BBNU^E03BC SR01^SR01-A01,BBNU,E03BC SR01,SR01-A01
277,BBNU^E03BC SR02^SR02-A01,BBNU,E03BC SR02,SR02-A01
1027,BBNU^E03BC PR04^PR04-A01,BBNU,E03BC PR04,PR04-A01
1476,BCN^E03BCN SR03^SR03-C01,BCN,E03BCN SR03,SR03-C01
1268,BCN^E03BCN SR06^SR06-C01,BCN,E03BCN SR06,SR06-C01
329,BCN^E03BCN SR01^SR01-C01,BCN,E03BCN SR01,SR01-C01
417,BCN^E03BCN PR05^PR05-C01,BCN,E03BCN PR05,PR05-C01
600,BCN^E03BCN SR07^SR07-C01,BCN,E03BCN SR07,SR07-C01
738,BCN^E03BCN SR02^SR02-C01,BCN,E03BCN SR02,SR02-C01
1134,BCN^E03BCN PR04^PR04-C01,BCN,E03BCN PR04,PR04-C01
484,BSNQ^C3BS BY02^BY02-12,BSNQ,C3BS BY02,BY02-12
242,BSNQ^C3BS BY02^BY02-11,BSNQ,C3BS BY02,BY02-11
687,BSNQ^C3BS BY01^BY01-01,BSNQ,C3BS BY01,BY01-01
770,BSNQ^C3BS WAITING^WAIT,BSNQ,C3BS WAITING,WAIT
1355,BSNQ^C3BS BY04^BY04-20,BSNQ,C3BS BY04,BY04-20
762,BSNQ^C3BS BY03^BY03-19,BSNQ,C3BS BY03,BY03-19
65,BSNQ^C3BS BY03^BY03-16,BSNQ,C3BS BY03,BY03-16
197,BSNQ^C3BS SR01^SR01-01,BSNQ,C3BS SR01,SR01-01
962,BSNQ^C3BS BY03^BY03-17,BSNQ,C3BS BY03,BY03-17
136,BSNQ^C3BS BY01^BY01-07,BSNQ,C3BS BY01,BY01-07
808,BSNQ^C3BS BY01^BY01-06,BSNQ,C3BS BY01,BY01-06
1310,BSNQ^C3BS BY02^BY02-08,BSNQ,C3BS BY02,BY02-08
1093,BSNQ^C3BS BY04^BY04-25,BSNQ,C3BS BY04,BY04-25
875,BSNQ^C3BS BY03^BY03-14,BSNQ,C3BS BY03,BY03-14
632,BSNQ^C3BS BY01^BY01-03,BSNQ,C3BS BY01,BY01-03
736,BSNQ^C3BS BY01^BY01-02,BSNQ,C3BS BY01,BY01-02
262,BSNQ^C3BS BY04^BY04-21,BSNQ,C3BS BY04,BY04-21
1754,BSNQ^C3BS BY01^BY01-05,BSNQ,C3BS BY01,BY01-05
516,BSNQ^C3BS SR02^SR02-02,BSNQ,C3BS SR02,SR02-02
1592,BSNQ^C3BS BY02^BY02-10,BSNQ,C3BS BY02,BY02-10
1018,BSNQ^C3BS BY01^BY01-04,BSNQ,C3BS BY01,BY01-04
743,BSNQ^C3BS BY03^BY03-18,BSNQ,C3BS BY03,BY03-18
680,BSNQ^C3BS BY02^BY02-13,BSNQ,C3BS BY02,BY02-13
